               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.015703,            0.011002,           0.0027324,            0.086451,             0.83145,             0.10704,            0.058705,            0.019804,            0.010974,             0.12557,            0.003202,            0.003202,            0.003202
                 105,            0.016062,            0.010968,           0.0022778,            0.085532,             0.80952,            0.099695,            0.056239,            0.019681,            0.011405,             0.12325,            0.003136,            0.003136,            0.003136
                 106,            0.015639,            0.011216,           0.0018341,            0.088696,             0.80713,             0.10684,            0.059742,             0.02049,            0.012036,             0.12136,             0.00307,             0.00307,             0.00307
                 107,            0.016292,            0.011065,           0.0024628,            0.096771,             0.81174,             0.12022,            0.066617,            0.019845,            0.012568,             0.11992,            0.003004,            0.003004,            0.003004
                 108,            0.015621,            0.010522,           0.0022247,            0.096477,             0.80326,             0.12019,            0.066739,            0.019396,            0.012438,             0.11845,            0.002938,            0.002938,            0.002938
                 109,            0.015004,            0.011284,           0.0026429,             0.10003,             0.80571,             0.12708,            0.071262,            0.019598,            0.012123,              0.1183,            0.002872,            0.002872,            0.002872
                 110,            0.015399,            0.011605,           0.0019778,             0.10366,             0.80941,             0.12083,            0.068538,            0.019707,            0.012092,             0.12258,            0.002806,            0.002806,            0.002806
                 111,            0.016648,            0.010923,           0.0031027,             0.10167,             0.80595,             0.11422,            0.065006,            0.019672,            0.012036,             0.12345,             0.00274,             0.00274,             0.00274
                 112,            0.015482,            0.011449,           0.0016833,            0.096981,             0.80248,             0.11378,            0.062271,            0.020232,            0.012887,             0.12567,            0.002674,            0.002674,            0.002674
                 113,            0.013599,           0.0097908,           0.0015586,            0.091164,             0.82293,             0.10701,            0.060893,            0.019803,            0.012337,             0.12791,            0.002608,            0.002608,            0.002608
                 114,            0.015483,            0.010695,           0.0025006,            0.088261,             0.78968,              0.1054,            0.060173,            0.020012,            0.012219,             0.12977,            0.002542,            0.002542,            0.002542
                 115,            0.014498,            0.010656,           0.0019744,            0.095822,             0.79909,             0.11216,            0.064652,            0.020026,            0.012178,             0.12891,            0.002476,            0.002476,            0.002476
                 116,             0.01452,            0.010121,           0.0020218,            0.099754,             0.79598,              0.1138,            0.064904,            0.019735,            0.012157,             0.12843,             0.00241,             0.00241,             0.00241
                 117,            0.014936,           0.0098871,           0.0019255,             0.10326,             0.76977,             0.10952,             0.06128,            0.020233,            0.012717,             0.12631,            0.002344,            0.002344,            0.002344
                 118,            0.014644,            0.010196,           0.0024457,             0.10349,             0.75901,             0.10418,            0.057632,            0.019966,             0.01327,             0.12898,            0.002278,            0.002278,            0.002278
                 119,             0.01566,            0.010346,           0.0014705,             0.10081,             0.75053,             0.10432,            0.059345,            0.020455,            0.012945,             0.12819,            0.002212,            0.002212,            0.002212
                 120,            0.013642,            0.010035,           0.0013835,             0.10311,             0.72957,              0.1076,            0.060041,            0.021148,             0.01338,             0.13021,            0.002146,            0.002146,            0.002146
                 121,            0.013627,           0.0099002,           0.0013268,             0.10876,             0.77651,              0.1153,            0.064417,            0.020817,            0.013524,             0.13095,             0.00208,             0.00208,             0.00208
                 122,            0.013562,            0.010223,           0.0013581,             0.10732,             0.76544,             0.11309,            0.063354,            0.020409,            0.013333,             0.13256,            0.002014,            0.002014,            0.002014
                 123,            0.013331,           0.0098458,           0.0018942,             0.10897,             0.76162,              0.1123,             0.06447,            0.020704,            0.012681,             0.13358,            0.001948,            0.001948,            0.001948
                 124,            0.015066,            0.010145,           0.0021478,             0.10286,             0.76925,             0.11321,            0.062423,            0.020885,            0.012669,             0.13294,            0.001882,            0.001882,            0.001882
                 125,            0.013401,           0.0095829,           0.0019717,             0.09765,             0.71979,             0.10515,            0.058777,            0.020557,            0.013064,             0.13137,            0.001816,            0.001816,            0.001816
                 126,            0.013404,            0.009346,           0.0015437,            0.099831,             0.72559,             0.10122,            0.056033,            0.020759,            0.013156,              0.1313,             0.00175,             0.00175,             0.00175
                 127,            0.014123,           0.0097139,            0.002076,             0.10067,             0.71409,            0.099851,            0.057319,            0.020568,            0.013582,             0.12972,            0.001684,            0.001684,            0.001684
